"rank"	"price_usd"	"24h_volume_usd"	"market_cap_usd"	"available_supply"	"total_supply"	"percent_change_1h"	"percent_change_24h"	"percent_change_7d"	"price_btc"
34	32.0397	745707	198097119	6182864	6602864	-1.38	-4.6	5.49	0.00417086
34	32.0303	732969	198040483	6182911	6602911	-0.87	-4.35	5.78	0.00421063
34	32.2185	740428	199207835	6183026	6603026	0.66	-3.67	6.8	0.00420269
34	33.0702	753248	204481420	6183253	6603253	3.21	-1.01	9.84	0.00428861
34	33.4553	760822	206864914	6183323	6603323	3.76	-0.18	11.31	0.00429022
34	33.003	749256	204073238	6183475	6603475	0.33	-2.15	9.96	0.00425023
34	33.1399	734330	204921290	6183522	6603522	-0.9	-2.6	10.58	0.00425314
34	32.9462	723407	203731625	6183767	6603767	-0.57	-3.69	10.16	0.00425018
34	32.887	721350	203368590	6183860	6603860	-0.9	-4.21	10.16	0.00424692
34	32.6775	723348	202077610	6183998	6603998	-1	-5.01	9.7	0.00422529
34	32.7501	692985	202531116	6184137	6604137	-0.27	-4.58	10.08	0.00422589
34	32.9896	610081	204019501	6184358	6604358	0.95	-3.31	10.96	0.00424492
34	32.7571	590480	202583048	6184401	6604401	-0.05	-3.17	10.28	0.0042457
34	32.8027	586300	202868853	6184517	6604517	-0.45	-2.4	10.55	0.00423916
34	32.691	556387	202178799	6184540	6604540	-0.12	-2.25	10.21	0.00426314
34	32.5892	563144	201558113	6184813	6604813	-0.64	-2.13	9.95	0.00424507
34	32.7317	576566	202444600	6184971	6604971	0.17	-1.36	10.54	0.00424531
34	33.0114	582739	204179121	6185109	6605109	1.07	-0.31	11.49	0.00429031
34	33.1342	585373	204940953	6185179	6605179	1.03	0.14	11.94	0.00431556
34	34.0773	636414	210783502	6185452	6605452	3.55	3.31	15.15	0.00444103
34	34.113	705702	211006691	6185521	6605521	2.94	3.86	15.3	0.00444472
33	34.6571	790326	214379292	6185725	6605725	2.88	5.84	17.11	0.00450793
34	34.4201	790062	212919489	6185906	6605906	-0.11	5.44	16.31	0.00444894
34	34.0359	795586	210549954	6186114	6606114	-1.93	4.55	14.9	0.00439831
34	34.0862	809903	210863483	6186183	6606183	-0.87	4.9	14.89	0.00439578
33	34.7566	833637	215014400	6186290	6606290	1.42	6.97	17	0.00447056
34	34.5476	836712	213724664	6186382	6606382	0.87	6.38	16.05	0.00446708
